"Amstetten","Niederösterreich"
"Bad Aussee","Steiermark"
"Baden","Niederösterreich"
"Bludenz","Vorarlberg"
"Braunau am Inn","Oberösterreich"
"Bregenz","Vorarlberg"
"Bruck an der Leitha","Niederösterreich"
"Bruck an der Mur","Steiermark"
"Burgenland",
"Deutschlandsberg","Steiermark"
"Dornbirn","Vorarlberg"
"Eferding","Oberösterreich"
"Eisenstadt (Stadt)","Burgenland"
"Eisenstadt-Umgebung","Burgenland"
"Feldbach","Steiermark"
"Feldkirch","Vorarlberg"
"Feldkirchen","Kärnten"
"Freistadt","Oberösterreich"
"Fürstenfeld","Steiermark"
"Gänserndorf","Niederösterreich"
"Gmünd","Niederösterreich"
"Gmunden","Oberösterreich"
"Graz (Stadt)","Steiermark"
"Graz-Umgebung","Steiermark"
"Grieskirchen","Oberösterreich"
"Gröbming","Steiermark"
"Güssing","Burgenland"
"Hallein","Salzburg"
"Hartberg","Steiermark"
"Hermagor","Kärnten"
"Hollabrunn","Niederösterreich"
"Horn","Niederösterreich"
"Imst","Tirol"
"Innsbruck-Land","Tirol"
"Innsbruck-Stadt","Tirol"
"Jennersdorf","Burgenland"
"Judenburg","Steiermark"
"Kärnten",
"Kirchdorf an der Krems","Oberösterreich"
"Kitzbühel","Tirol"
"Klagenfurt (Stadt)","Kärnten"
"Klagenfurt Land","Kärnten"
"Knittelfeld","Steiermark"
"Korneuburg","Niederösterreich"
"Krems (Land)","Niederösterreich"
"Krems an der Donau (Stadt)","Niederösterreich"
"Kufstein","Tirol"
"Landeck","Tirol"
"Leibnitz","Steiermark"
"Leoben","Steiermark"
"Leoben Bezirk","Steiermark"
"Lienz","Tirol"
"Liezen","Steiermark"
"Lilienfeld","Niederösterreich"
"Linz (Stadt)","Oberösterreich"
"Linz-Land","Oberösterreich"
"Mattersburg","Burgenland"
"Melk","Niederösterreich"
"Mistelbach","Niederösterreich"
"Mödling","Niederösterreich"
"Murau","Steiermark"
"Mürzzuschlag","Steiermark"
"Neunkirchen","Niederösterreich"
"Neusiedl am See","Burgenland"
"Niederösterreich",
"Oberösterreich",
"Oberpullendorf","Burgenland"
"Oberwart","Burgenland"
"Perg","Oberösterreich"
"Radkersburg","Steiermark"
"Reutte","Tirol"
"Ried im Innkreis","Oberösterreich"
"Rohrbach","Oberösterreich"
"Salzburg",
"Salzburg (Stadt)","Salzburg"
"Salzburg-Umgebung","Salzburg"
"Sankt Johann im Pongau","Salzburg"
"Sankt Pölten (Land)","Niederösterreich"
"Sankt Pölten (Stadt)","Niederösterreich"
"Sankt Veit an der Glan","Kärnten"
"Schärding","Oberösterreich"
"Scheibbs","Niederösterreich"
"Schwaz","Tirol"
"Schwechat","Niederösterreich"
"Spittal an der Drau","Kärnten"
"Steiermark",
"Steyr (Stadt)","Oberösterreich"
"Steyr-Land","Oberösterreich"
"Tamsweg","Salzburg"
"Tirol",
"Tulln","Niederösterreich"
"Urfahr-Umgebung","Oberösterreich"
"Villach (Stadt)","Kärnten"
"Villach Land","Kärnten"
"Vöcklabruck","Oberösterreich"
"Voitsberg","Steiermark"
"Völkermarkt","Kärnten"
"Vorarlberg",
"Waidhofen an der Thaya","Niederösterreich"
"Waidhofen an der Ybbs (Stadt)","Niederösterreich"
"Weiz","Steiermark"
"Wels (Stadt)","Oberösterreich"
"Wels-Land","Oberösterreich"
"Wien",
"Wien(Stadt)","Wien"
"Wien-Umgebung","Niederösterreich"
"Wiener Neustadt (Land)","Niederösterreich"
"Wiener Neustadt (Stadt)","Niederösterreich"
"Wolfsberg","Kärnten"
"Zell am See","Salzburg"
"Zwettl","Niederösterreich"
